ID,Institution Name,Street,City,State,ZIP,Chief Name,Chief Title,Telephone,URL,Alias,System,County,Longitude,Latitude,
101116,South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,Victor Biebighauser,President,3343958800,southuniversity.edu,,Education Management Corporation,Montgomery County,-86.216488,32.342684,
101143,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,"Nancy Chandler, Ed.D.",President,3343472623,www.escc.edu,,Alabama Community College System,Coffee County,-85.836956,31.297496,
101161,James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507-2698,Gary Branch,President,2515802100,www.faulknerstate.edu,,Alabama Community College System,Baldwin County,-87.779758,30.852045,
101189,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3378,Billy D Hilyer,President,3342725820,www.faulkner.edu,,,Montgomery County,-86.21641,32.384181,
101240,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,Dr. William O. Blow,Acting President,2565498200,www.gadsdenstate.edu,,Alabama Community College System,Etowah County,-85.991299,33.991866,
101277,New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,KELLY BALL,DIRECTOR,2568786430,www.nbccosmetology.com,,,Marshall County,-86.196979,34.278124,
101286,George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,Linda C Young,President,3349833521,www.wallace.edu,,Alabama Community College System,Dale County,-85.46355,31.316086,
101295,George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,35077-2000,Vicki Hawsey,President,2563528000,www.wallacestate.edu,,Alabama Community College System,Cullman County,-86.781745,34.07341,
101301,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,Dr. James M. Mitchell,President,3348769227,www.wccs.edu,,Alabama Community College System,Dallas County,-87.01324,32.445611,
101365,Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,Tommy Dennis,President,2059162800,www.herzing.edu/birmingham,,Herzing Inc.,Jefferson County,-86.832299,33.468105,
101435,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,J. Cameron West,President,3348334222,www.huntingdon.edu,,,Montgomery County,-86.285313,32.350939,
101453,Heritage Christian University,3625 Helton Dr,Florence,AL,35630-9977,Dennis Jones,President,2567666610,www.hcu.edu,,,Lauderdale County,-87.662062,34.859089,
101462,J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,Helen T. McAlpine Ed.D.,President,2565398161,www.drakestate.edu,,Alabama Community College System,Madison County,-86.573817,34.772116,
101471,J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,Hank Dasinger,President,3.34E+13,www.istc.edu,,Alabama Community College System,Elmore County,-86.392369,32.582312,
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,William Meehan,President,2567825781,www.jsu.edu/,Jacksonville State,,Calhoun County,-85.766644,33.822128,
101499,Jefferson Davis Community College,220 Alco Dr,Brewton,AL,36426,Dr. Daniel A. Bain,President,2518674832,www.jdcc.edu,,Alabama Community College System,Escambia County,-87.085829,31.101995,
101505,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,35215-3098,Dr. Judy Merritt,President,2058531200,www.jeffstateonline.com,,Alabama Community College System,Jefferson County,-86.707387,33.652439,
101514,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,Dr. Marilyn C. Beck,President,2563062500,www.calhoun.edu,,Alabama Community College System,Limestone County,-86.949131,34.65428,
101541,Judson College,302 Bibb St,Marion,AL,36756,David E Potts,President,3346835100,www.judson.edu,,,Perry County,-87.316127,32.630526,
101569,Lawson State Community College-Birmingham Campus,3060 Wilson Rd SW,Birmingham,AL,35221-1717,Perry W Ward,President,2059252515,www.lawsonstate.edu,,Alabama Community College System,Jefferson County,-86.890234,33.451673,
101587,University of West Alabama,Station One,Livingston,AL,35470,Dr. Richard Holland,President,2056523400,www.uwa.edu,West Alabama,,Sumter County,-88.186077,32.59244,
101602,Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1418,"Herbert H. J. Riedel, Ph.D.",President,3342226591,www.lbwcc.edu,,Alabama Community College System,Covington County,-86.452262,31.322947,
101648,Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,Col David J. Mollahan,President,8006641842,www.marionmilitary.edu,,Alabama Community College System,Perry County,-87.317998,32.622359,
101675,Miles College,5500 Myron Massey Blvd,Fairfield,AL,35064-2621,"George T. French, Jr.",President,2.06E+13,www.miles.edu,,,Jefferson County,-86.908605,33.481306,
101693,University of Mobile,5735 College Parkway Drive,Mobile,AL,36613-2842,Mark Foley,President,2516755990,www.umobile.edu,,,Mobile County,-88.128934,30.793247,
101709,University of Montevallo,Station 6001,Montevallo,AL,35115-6000,John W. Stewart III,President,2056656155,www.montevallo.edu,,,Shelby County,-86.865099,33.10625,
101736,Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,Humphrey Lee,President,2563315200,www.nwscc.edu,,Alabama Community College System,Colbert County,-87.67733,34.739567,
101879,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,"Wm. G. Cale, Jr.",President,2567654100,www.una.edu,North Alabama,,Lauderdale County,-87.680999,34.80658,
101897,Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,J. David Campbell,President,2.06E+13,www.nacc.edu,,Alabama Community College System,Jackson County,-85.911664,34.545471,
101912,Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,Leslie Pollard,President,2567267000,www.oakwood.edu,,,Madison County,-86.661628,34.756628,
101949,Alabama Southern Community College,2800 South Alabama Avenue,Monroeville,AL,36460,Reginald Sykes,President,2.52E+13,www.ascc.edu,,Alabama Community College System,Monroe County,-87.326352,31.488925,
101958,Prince Institute-Southeast,7735 Atlanta Hwy,Montgomery,AL,36117,Dr. Keith Werosh,"Director, Campus Operations",3342711670,princeinstitute.edu,,Stenograph LLC,Montgomery County,-86.162213,32.383091,
101994,Reid State Technical College,I65 and Hwy 83,Evergreen,AL,36401,Dr . Douglas M Littles,President,2515781313,www.rstc.edu,,Alabama Community College System,Conecuh County,-86.964486,31.46071,
102030,Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,James Lowe,President,2514057000,www.bishop.edu,,Alabama Community College System,Mobile County,-88.056982,30.693972,
102049,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-2240,Andrew Westmoreland,President,2057262011,www.samford.edu,Samford,,Jefferson County,-86.790932,33.464578,
102058,Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,"Dr. Alvin A. Cleveland, Sr.",President,3348722533,selmauniversity.org,,,Dallas County,-87.033826,32.420358,
102067,Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,35405-8522,Joan Y. Davis,Interim President,2053912211,www.sheltonstate.edu,,Alabama Community College System,Tuscaloosa County,-87.56148,33.120531,
102076,Snead State Community College,102 Elder Street,Boaz,AL,35957-0734,Dr. Robert J. Exley,President,2565935120,www.snead.edu,,Alabama Community College System,Marshall County,-86.169483,34.200648,
102094,University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,Dr. Tony Waldrop,President,2514606101,www.southalabama.edu,South Alabama,,Mobile County,-88.18189,30.695081,
102234,Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,"Rev. Richard P. Salmi, S.J.",President,2513804000,www.shc.edu,,,Mobile County,-88.138199,30.694751,
102261,Southeastern Bible College,2545 Valleydale Road,Birmingham,AL,35224-2083,Dr. Don Hawkins,President,2059709200,www.sebc.edu,,,Shelby County,-86.749045,33.378935,
102270,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35403,"Ernest McNealey, Ph.D.",President,2053494240,www.stillman.edu,Stillman,,Tuscaloosa County,-87.585242,33.199228,
102298,Talladega College,627 W Battle St,Talladega,AL,35160,Dr. Billy C. Hawkins,President,2567616100,www.talladega.edu,,,Talladega County,-86.113675,33.434258,
102313,H Councill Trenholm State Technical College,1225 Air Base Blvd,Montgomery,AL,36108-3199,Mr. Samuel Munnerlyn,President,3344204300,www.trenholmstate.edu,,Alabama Community College System,Montgomery County,-86.343057,32.350109,
102368,Troy University,University Avenue,Troy,AL,36082-0001,"Dr. Jack Hawkins, Jr.",Chancellor,3346703100,www.troy.edu,Troy,,Pike County,-85.950191,31.800128,
102377,Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,Matthew Jenkins,President,3347278011,www.tuskegee.edu,,,Macon County,-85.710315,32.431021,
102395,United States Sports Academy,One Academy Drive,Daphne,AL,36526-7055,Dr. Thomas P. Rosandich,President/CEO,2.52E+13,www.ussa.edu,,,Baldwin County,-87.91163,30.639329,
102429,Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,Anne Mcnutt,President,2053870511,www.bscc.edu,,Alabama Community College System,Walker County,-87.265034,33.835785,
102553,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,Tom Case,Chancellor,9077861800,www.uaa.alaska.edu,,University of Alaska System of Higher Education,Anchorage Municipality,-149.826135,61.189554,
102580,Alaska Bible College,248 E Elmwood,Palmer,AK,99645,Nicholas Ringger,President,9077453201,www.akbible.edu/,,,Matanuska-Susitna Borough,-149.111341,61.59843,
102614,University of Alaska Fairbanks,505 South Chandalar Drive,Fairbanks,AK,99775-7500,Brian Rogers,Chancellor,9074747211,www.uaf.edu,,University of Alaska System of Higher Education,Fairbanks North Star Borough,-147.824751,64.857053,
102632,University of Alaska Southeast,11120 Glacier Highway,Juneau,AK,99801-8697,John Pugh,Chancellor,8774654827,www.uas.alaska.edu,,University of Alaska System of Higher Education,Juneau City and Borough,-134.636346,58.38427,
102669,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,Don Bantz,President,9075611266,www.alaskapacific.edu,,,Anchorage Municipality,-149.804242,61.191235,
102711,AVTEC-Alaska's Institute of Technology,809 Second Avenue,Seward,AK,99664-0889,Fred Esposito,Director,9072243322,www.avtec.edu/,,,Kenai Peninsula Borough,-149.444573,60.110727,
102845,Charter College-Anchorage,2221 E Northern Lights Blvd Ste 120,Anchorage,AK,99508,Larry Capps,President,9072771000,www.chartercollege.edu,,Prospect Education,Anchorage Municipality,-149.840178,61.195786,
103361,Prince William Sound Community College,303 Lowe Street,Valdez,AK,99686-0097,Jacob Ng,President/CEO,9078341600,www.pwscc.edu,,University of Alaska System of Higher Education,Valdez-Cordova Census Area,-146.17799,61.122364,
103501,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,Jennifer Deitz,President,9.08E+12,www.alaskacareercollege.edu,,,Anchorage Municipality,-149.856954,61.181443,
103529,University of Alaska System of Higher Education,"910 Yukon Drive, Suite 202 Butrovich Building",Fairbanks,AK,99775-5000,Patrick Gamble,President,9074508000,www.alaska.edu/,,,Fairbanks North Star Borough,-147.82863,64.858626,
103644,Everest College-Phoenix,"10400 N. 25th Avenue, Suite 190",Phoenix,AZ,85021-1641,Edward Johnson,College President,6029424141,www.everestcollegephoenix.edu,,Corinthian Colleges Inc.,Maricopa County,-112.113845,33.580985,
103723,Collins College,4750 S 44th Place,Phoenix,AZ,85040,Jeff Lagasse,Campus Director,4809663000,www.collinscollege.edu,,Career Education Corporation,Maricopa County,-111.98646,33.40334,
103732,Empire Beauty School-Paradise Valley,12827 N Tatum Blvd,Phoenix,AZ,85032,Michael Bouman,President/COO,8009204593,www.empire.edu,,EEG Inc.,Maricopa County,-111.976357,33.602593,
103741,Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,Michael Bouman,President/COO,8009204593,www.empire.edu,,EEG Inc.,Pima County,-110.927187,32.235657,
103778,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,Larry Penley,President,6029787000,www.thunderbird.edu,,,Maricopa County,-112.180861,33.620887,
103787,American Indian College of the Assemblies of God Inc,10020 N 15th Ave,Phoenix,AZ,85021,Dr. David Moore,President,6029443335,www.aicag.edu/,,,Maricopa County,-112.092247,33.577738,
103811,American Institute of Technology,440 S 54th Avenue,Phoenix,AZ,85043-4729,Charles R. Wirth,President,6022332222,www.ait-schools.com,,American Institute of Technology Inc.,Maricopa County,-112.175304,33.442262,
103893,Carrington College-Phoenix,8503 N 27th Ave.,Phoenix,AZ,85051-4063,Valentina Colmone,Executive Campus Director,6023935900,www.carrington.edu,,Carrington Colleges Group Inc.,Maricopa County,-112.115546,33.560821,
103909,Carrington College-Mesa,"1001 Southern Ave., Ste. 130",Mesa,AZ,85210,Steve Temple,Executive Campus Director,4802121600,www.carrington.edu,,Carrington Colleges Group Inc.,Maricopa County,-111.855281,33.39207,
103927,Carrington College-Tucson,3550 N Oracle Rd.,Tucson,AZ,85705-5885,Antonio Thompson,Executive Campus Director,5208885885,www.carrington.edu,,Carrington Colleges Group Inc.,Pima County,-110.977571,32.27094,
103945,College America-Flagstaff,3012 East Route 66,Flagstaff,AZ,86004,Suzanne Scales,Executive Director,9.28E+13,www.collegeamerica.edu,,Center for Excellence in Higher Education,Coconino County,-111.604793,35.211152,
103954,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,Stewart White,President/Owner,5208854120,www.arizonaacademy.com,,,Pima County,-110.872305,32.237253,
103963,Arizona Automotive Institute,6829 N 46th Ave,Glendale,AZ,85301-3579,Darin Bargen,Executive Director,6239347273,www.aai.edu,,ATI Enterprises Inc.,Maricopa County,-112.157344,33.537249,
104090,Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,Luis Armendariz,Campus Director,6022426265,www.brooklinecollege.edu,,"Brookline College, LLC",Maricopa County,-112.15007,33.525384,
104151,Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,85287,Michael M. Crow,President,4809659011,www.asu.edu/,Arizona State,Arizona Board of Regents,Maricopa County,-111.940011,33.421922,
104160,Arizona Western College,2020 S. Avenue 8E,Yuma,AZ,85365-8834,Glenn Mayle,President,9283176000,www.azwestern.edu,,,Yuma County,-114.495968,32.689306,
104179,University of Arizona,1401 E University,Tucson,AZ,85721-0066,Ann Weaver Hart,President,5206212211,www.arizona.edu,Arizona,Arizona Board of Regents,Pima County,-110.950769,32.232071,
104188,Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,Stephanie Dietzman,Registrar,5203250123,www.suva.edu,,,Pima County,-110.927321,32.252384,
104294,Brillare Hairdressing Academy,"15147 N. Scottsdale Road, Suite H-300",Scottsdale,AZ,85254,Christa Jones,CEO,4809944222,www.brillare.com/,,RAS Management Inc.,Maricopa County,-111.925481,33.623979,
104346,Central Arizona College,8470 N Overfield Rd,Coolidge,AZ,85128-9030,Doris Helmich,President,5204945444,www.centralaz.edu,,,Pinal County,-111.652501,32.957092,
104364,Brown Mackie College-Tucson,4585 E Speedway Blvd.,Tucson,AZ,85712,Timothy Bush,Campus President,5203276866,www.brownmackie.edu,,Education Management Corporation,Pima County,-110.895086,32.236736,
104391,Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205",Lake Havasu City,AZ,86403,Charles Bartolomeo,Owner,9284536666,www.charlesofitaly.edu,,,Mohave County,-114.328134,34.475275,
104425,Cochise College,4190 W Highway 80,Douglas,AZ,85607-6190,"J.D. Rottweiler, Ph.D.",President,5205150500,www.cochise.edu,,,Cochise County,-109.690422,31.365757,
104434,Empire Beauty School-Flagstaff,1790 E Rte 66,Flagstaff,AZ,86004,Michael Bouman,President/COO,8009204593,www.empire.edu,,EEG Inc.,Coconino County,-111.625936,35.197151,
104443,,2978 N Alma School Rd #1-3,Chandler,AZ,85224,Michael Bouman,President/COO,8009204593,www.empire.edu,,EEG Inc.,Maricopa County,-111.860423,33.347586,
104504,Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,Stephen Lazarus,Chief Operating Officer,5204075160,www.cortiva.com/,,Steiner Education Group,Pima County,-110.856785,32.21901,
104531,DeVry University-Arizona,2149 W Dunlap Ave,Phoenix,AZ,85021-2995,Craig Jacob,Metro President,6028709222,www.devry.edu,,,Maricopa County,-112.104445,33.566087,
104568,Avalon School of Cosmetology-Mesa,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,Clint Tryon,CFO,4808971688,www.avalon.com,,EA Education Inc.,Maricopa County,-111.858305,33.376583,
104577,Eastern Arizona College,615 N. Stadium Ave.,Thatcher,AZ,85552-0769,Mark Bryce,President,9284288322,www.eac.edu,,,Graham County,-109.761664,32.840719,
104586,Embry-Riddle Aeronautical University-Prescott,3700 Willow Creek Road,Prescott,AZ,86301-3720,Dr. John P. Johnson,President,9287773728,www.erau.edu,,,Yavapai County,-112.452285,34.615678,
104665,Frank Lloyd Wright School of Architecture,Taliesin West,Scottsdale,AZ,85261-4430,Victor E. Sidy,Dean,4808602700,www.taliesin.edu,,Frank Lloyd Wright Foundation,Maricopa County,-111.846477,33.60715,
104708,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,"Irene Kovala, Ph.D.",President,6238453000,www.gccaz.edu,,Maricopa Community College District,Maricopa County,-112.188334,33.567483,
104717,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,Brian Mueller,Chief Executive Officer,8008009776,www.gcu.edu,,,Maricopa County,-112.129917,33.512172,
104805,Anthem College-Phoenix,1515 E Indian School Road,Phoenix,AZ,85014,Sara Mayer,Executive Director,9544002000,www.anthem.edu,,Anthem Education,Maricopa County,-112.050186,33.494316,
104911,International Academy of Hair Design,1445 W Southern Ave #2006,Mesa,AZ,85202-4887,Gerald Johnson,Cheif Executive Officer,4808209422,www.intlacademyaz.com/,,IABC Inc.,Maricopa County,-111.862674,33.392961,
105118,Kaplan College-Phoenix,"13610 N Black Canyon Hwy,  Ste 104",Phoenix,AZ,85029,Jacki Rupe,Interim Executive Director,6025481955,www.kaplancollege.com/phoenix-az/,,Kaplan Higher Education Corporation,Maricopa County,-112.118921,33.608202,
105136,Maricopa Community College System Office,2411 W 14th St,Tempe,AZ,85281-6942,Dr. Rufus Glasper,Chancellor,4807318000,www.dist.maricopa.edu,,Maricopa Community College District,Maricopa County,-111.975786,33.412915,
105145,GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034,Dr. Steven R. Gonzales,President,6023925000,www.gatewaycc.edu,,Maricopa Community College District,Maricopa County,-111.996527,33.4495,
105154,Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,Dr. Shouan Pan,President,4804617000,www.mesacc.edu,,Maricopa Community College District,Maricopa County,-111.871494,33.391256,
105163,ITT Technical Institute-Tucson,1455 W. River Rd,Tucson,AZ,85704-5829,Arnulfo Runas,Director,5204087488,www.itt-tech.edu,,ITT Educational Services Inc.,Pima County,-110.997501,32.297261,
105172,ITT Technical Institute-Tempe,5005 S. Wendler Drive,Tempe,AZ,85282,Chuck Wilson,Director,6024377500,www.itt-tech.edu,,ITT Educational Services Inc.,Maricopa County,-111.969169,33.380355,
105206,Mohave Community College,1971 Jagerson Ave,Kingman,AZ,86409-1238,Michael Kearns,President,9287574331,www.mohave.edu,,,Mohave County,-114.030244,35.270737,
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,Mr. Bryan Fishkind,Campus President,6238699644,www.uti.edu/,,Universal Technical Institute Inc.,Maricopa County,-112.121336,33.684428,
105297,Dine College,"Route 12, One Circle Drive",Tsaile,AZ,86556,Maggie George,President,9287246600,www.dinecollege.edu,,,Apache County,-109.21684,36.293328,
105330,Northern Arizona University,"1900 S. Knoles Dr, Babbitt Administrative Center",Flagstaff,AZ,86011-4132,John D. Haeger,President,9285239011,nau.edu/,,Arizona Board of Regents,Coconino County,-111.657653,35.180095,
105349,Northland Pioneer College,2251 E. Navajo Blvd.,Holbrook,AZ,86025-0610,Dr. Jeanne Swarthout,President,8002667845,www.npc.edu,,,Navajo County,-110.1316,34.922221,
105367,Ottawa University-Phoenix,10020 North 25th Avenue,Phoenix,AZ,85021,Peggie Lanzone,Campus Director,6023711188,www.ottawa.edu,,,Maricopa County,-112.113447,33.577907,
105428,Phoenix College,1202 W Thomas Rd,Phoenix,AZ,85013,Dr. Anna Solley,President,6022642492,www.phoenixcollege.edu,,Maricopa Community College District,Maricopa County,-112.088293,33.481361,
105482,Cortiva Institute-Scottsdale,8010 East McDowell Road #214,Scottsdale,AZ,85257,Stephen Lazarus,Chief Operating Officer,4809459461,www.cortiva.com/,,Steiner Education Group,Maricopa County,-111.908433,33.466554,
105516,University of Phoenix-Phoenix Campus,1625 West Fountainhead Parkway,Tempe,AZ,85282-2371,"William Pepicello, PhD",President,8667660766,www.phoenix.edu,,University of Phoenix,Maricopa County,-111.966271,33.40319,
105525,Pima Community College,4905C East  Broadway Blvd.,Tucson,AZ,85709-1275,Lee D. Lambert,Chancellor,5202064500,www.pima.edu,,,Pima County,-110.887019,32.221772,
105534,Pima Medical Institute-Tucson,"3350 East Grant Road, Suite 200",Tucson,AZ,85716,Dale Berg,Campus Director,5203261600,pmi.edu,,,Pima County,-110.921306,32.250448,
105543,Pima Medical Institute-Albuquerque,4400 Cutler Avenue NE,Albuquerque,NM,87110,Lisa Knigge-Huntsman,Campus Director,5058811234,pmi.edu,,,Bernalillo County,-106.594451,35.10485,
105589,Prescott College,220 Grove Ave,Prescott,AZ,86301,"Kristin Woolever, Ph.D.",President,8773502100,www.prescott.edu,,,Yavapai County,-112.476509,34.5445,
105659,Refrigeration School Inc,4210 E Washington Street,Phoenix,AZ,85034-1816,Stephen Malutich,Campus President,6022757133,refrigerationschool.com,,Tulsa Welding School Inc.,Maricopa County,-111.989357,33.448692,
105668,Rio Salado College,2323 W 14th St,Tempe,AZ,85281,Dr. Chris Bustamante,President,4805178000,www.rio.maricopa.edu,,Maricopa Community College District,Maricopa County,-111.975201,33.413138,
105677,Roberto-Venn School of Luthiery,1012 NW Grand Ave,Phoenix,AZ,85007,William Eaton,Director,6022431179,www.roberto-venn.com,,,Maricopa County,-112.086161,33.45489,
105701,Hair Academy of Safford,1550 West Thatcher Blvd,Safford,AZ,85546,Joey Scott,Owner,9284280331,hairacademy.com,,,Graham County,-109.727696,32.835302,
105747,Scottsdale Community College,9000 E Chaparral Rd,Scottsdale,AZ,85256,Dr. Jan L. Gehler,President,4804236000,www.scottsdalecc.edu,,Maricopa Community College District,Maricopa County,-111.887298,33.509489,
105792,South Mountain Community College,7050 S 24th St,Phoenix,AZ,85042,Dr. Shari L. Olson,Interim President,6022438135,www.southmountaincc.edu,,Maricopa Community College District,Maricopa County,-112.057515,33.381001,
105899,Arizona Christian University,2625 E Cactus Rd,Phoenix,AZ,85032-7097,Gary Damore,Provost,6024895300,www.arizonachristian.edu,,,Maricopa County,-112.026211,33.595117,
105987,Tucson College,"5151 E Broadway Blvd, Ste.155",Tucson,AZ,85711,Lillie Roman,Campus Director,5202580400,www.tucsoncollege.edu,,Delta Career Education Corporation,Pima County,-110.883181,32.22205,
106041,Universal Technical Institute of Arizona Inc,10695 West Pierce Street,Avondale,AZ,85323,Mr. Mike Romano,Campus President,6232454600,www.uti.edu,,Universal Technical Institute Inc.,Maricopa County,-112.289693,33.453533,
106102,Western International University,1601 W Fountainhead Parkway,Tempe,AZ,85282,Tracy Lorenz,President,6029432311,www.west.edu,,"Apollo Education Group, Inc",Maricopa County,-111.96412,33.403635,
106111,Empire Beauty School-NW Phoenix,2727 W. Glendale Ave. #200,Glendale,AZ,85051,Michael Bouman,President/COO,8009204593,www.empire.edu,,EEG Inc.,Maricopa County,-112.118168,33.538093,
106148,Yavapai College,1100 E Sheldon St,Prescott,AZ,86301,Dr. Penelope H. Wills,President,9284457300,www.YC.EDU,,,Yavapai County,-112.454156,34.547512,
106245,University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,72204,Joel E. Anderson,Chancellor,5015693000,ualr.edu/www/,,University of Arkansas System,Pulaski County,-92.341835,34.726644,
106263,University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,AR,72205-7199,"Daniel Rahn, M.D.",Chancellor,5012961275,www.uams.edu,,University of Arkansas System,Pulaski County,-92.320945,34.749718,
106281,ABC Beauty College Inc,203 S 26th Street,Arkadelphia,AR,71923,Charles Kirkpatrick,President,8702466726,www.abc-beautycollege.com,,,Clark County,-93.080831,34.12018,
106306,Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR,72202-6068,Dr. Fitzgerald Hill,President,5013704000,www.arkansasbaptist.edu,,,Pulaski County,-92.290555,34.734751,
106315,Arkansas Beauty School,5108 Baseline Rd,Little Rock,AR,72209,Patricia Ray,Owner,5015625673,arkbeautyschool.com,,,Pulaski County,-92.334814,34.669071,
106324,Arkansas Beauty College,109 N Commerce St,Russellville,AR,72801,Barbara Ward,Owner & Instructor,4799683075,arkansasbeautycollegerussellville.com,,,Pope County,-93.13522,35.278622,
106342,Lyon College,2300 Highland Road,Batesville,AR,72501,Donald V. Weatherman,President,8703077000,www.lyon.edu,,,Independence County,-91.628115,35.778934,
