Fact,State Abbr,Population estimate,Persons under 5 years,Persons under 18 years,Persons 65 years and over,Female persons,Housing units,Median value of housing units,Median gross rent,Households,Persons per household,High school graduate or higher - age 25 years+,Bachelor's degree or higher - age 25 years+,Mean travel time to work (minutes),Median household income,Persons in poverty,Population per square mile,Land area in square miles
Missouri,MO,"6,093,000",6.10%,22.80%,16.10%,50.90%,"2,760,084","$138,400 ",$746 ,"2,364,688",2.48,88.40%,27.10%,23.2,"$48,173 ",14.00%,87.1,"68,741.52"
Mississippi,MS,"2,988,726",6.30%,24.10%,15.10%,51.50%,"1,307,441","$103,100 ",$717 ,"1,096,593",2.64,82.30%,20.70%,24.1,"$39,665 ",20.80%,63.2,"46,923.27"
Minnesota,MN,"5,519,952",6.40%,23.30%,15.10%,50.20%,"2,409,935","$186,200 ",$848 ,"2,124,745",2.49,92.40%,33.70%,23.1,"$61,492 ",9.90%,66.6,"79,626.74"
Michigan,MI,"9,928,300",5.80%,22.10%,16.20%,50.80%,"4,560,055","$122,400 ",$783 ,"3,841,148",2.52,89.60%,26.90%,24.2,"$49,576 ",15.00%,174.8,"56,538.90"
Massachusetts,MA,"6,811,779",5.30%,20.20%,15.80%,51.50%,"2,858,026","$333,100 ","$1,102 ","2,549,721",2.53,89.80%,40.50%,28.7,"$68,563 ",10.40%,839.4,"7,800.06"
Maryland,MD,"6,016,447",6.10%,22.40%,14.60%,51.60%,"2,447,127","$286,900 ","$1,230 ","2,166,389",2.67,89.40%,37.90%,32.3,"$74,551 ",9.70%,594.8,"9,707.24"
Maine,ME,"1,331,479",4.90%,19.10%,19.40%,51.00%,"730,705","$173,800 ",$777 ,"553,284",2.34,91.60%,29.00%,23.6,"$49,331 ",12.50%,43.1,"30,842.92"
Louisiana,LA,"4,681,666",6.60%,23.80%,14.40%,51.10%,"2,036,975","$144,100 ",$788 ,"1,727,919",2.6,83.40%,22.50%,25.1,"$45,047 ",20.20%,104.9,"43,203.90"
Kentucky,KY,"4,436,974",6.20%,22.80%,15.60%,50.70%,"1,965,556","$123,200 ",$675 ,"1,708,499",2.5,84.20%,22.30%,23,"$43,740 ",18.50%,109.9,"39,486.34"
Kansas,KS,"2,907,289",6.70%,24.60%,15.00%,50.20%,"1,259,864","$132,000 ",$757 ,"1,113,472",2.53,90.20%,31.00%,19.1,"$52,205 ",12.10%,34.9,"81,758.72"
Iowa,IA,"3,134,693",6.40%,23.30%,16.40%,50.30%,"1,380,162","$129,200 ",$697 ,"1,236,409",2.42,91.50%,26.70%,18.9,"$53,183 ",11.80%,54.5,"55,857.13"
Indiana,IN,"6,633,053",6.40%,23.80%,14.90%,50.70%,"2,854,546","$124,200 ",$745 ,"2,501,937",2.55,87.80%,24.10%,23.3,"$49,255 ",14.10%,181,"35,826.11"
Illinois,IL,"12,801,539",6.00%,22.90%,14.60%,50.90%,"5,326,970","$173,800 ",$907 ,"4,786,388",2.63,87.90%,32.30%,28.4,"$57,574 ",13.00%,231.1,"55,518.93"
Idaho,ID,"1,683,140",6.80%,26.00%,15.10%,49.90%,"700,825","$162,900 ",$743 ,"589,320",2.69,89.50%,25.90%,20.2,"$47,583 ",14.40%,19,"82,643.12"
Hawaii,HI,"1,428,557",6.40%,21.60%,17.10%,49.80%,"537,114","$515,300 ","$1,438 ","450,572",3.02,91.00%,30.80%,26.8,"$69,515 ",9.30%,211.8,"6,422.63"
Georgia,GA,"10,310,371",6.40%,24.40%,13.10%,51.30%,"4,218,776","$148,100 ",$879 ,"3,574,362",2.73,85.40%,28.80%,27.4,"$49,620 ",16.00%,168.4,"57,513.49"
Florida,FL,"20,612,439",5.50%,20.10%,19.90%,51.10%,"9,301,642","$159,000 ","$1,002 ","7,300,494",2.63,86.90%,27.30%,26.4,"$47,507 ",14.70%,350.6,"53,624.76"
Delaware,DE,"952,065",5.80%,21.50%,17.50%,51.60%,"426,149","$231,500 ","$1,018 ","344,022",2.62,88.40%,30.00%,25.5,"$60,509 ",11.70%,460.8,"1,948.54"
Connecticut,CT,"3,576,452",5.20%,21.10%,16.10%,51.20%,"1,499,116","$270,500 ","$1,075 ","1,352,583",2.57,89.90%,37.60%,25.4,"$70,331 ",9.80%,738.1,"4,842.36"
Colorado,CO,"5,540,545",6.10%,22.80%,13.40%,49.70%,"2,339,118","$247,800 ","$1,002 ","2,024,468",2.55,90.70%,38.10%,24.8,"$60,629 ",11.00%,48.5,"103,641.89"
California,CA,"39,250,017",6.30%,23.20%,13.60%,50.30%,"14,060,525","$385,500 ","$1,255 ","12,717,801",2.96,81.80%,31.40%,28,"$61,818 ",14.30%,239.1,"155,779.22"
Arkansas,AR,"2,988,248",6.40%,23.60%,16.30%,50.90%,"1,354,762","$111,400 ",$677 ,"1,138,025",2.53,84.80%,21.10%,21.6,"$41,371 ",17.20%,56,"52,035.48"
Arizona,AZ,"6,931,071",6.30%,23.50%,16.90%,50.30%,"2,961,003","$167,500 ",$913 ,"2,412,212",2.69,86.00%,27.50%,24.8,"$50,255 ",16.40%,56.3,"113,594.08"
Alaska,AK,"741,894",7.30%,25.20%,10.40%,47.70%,"310,658","$250,000 ","$1,146 ","250,969",2.81,92.10%,28.00%,19,"$72,515 ",9.90%,1.2,"570,640.95"
Alabama,AL,"4,863,300",6.00%,22.60%,16.10%,51.60%,"2,230,185","$125,500 ",$717 ,"1,848,325",2.55,84.30%,23.50%,24.4,"$43,623 ",17.10%,94.4,"50,645.33"
UNITED STATES,,"323,127,513",6.20%,22.80%,15.20%,50.80%,"135,697,926","$178,600 ",$928 ,"116,926,305",2.64,86.70%,29.80%,25.9,"$53,889 ",12.70%,87.4,"3,531,905.43"
